key,value
itm_lng_label,Longitude
itm_select_price,Select Price Type
itm_select_type,Select Item Type
itm_select_currency,Select Item Currency
status_label,Status
select_status_label,Select Status
itm_select_location,Select Item Location
find_location_label,Type & Find location from Google API
itm_select_condition_of_item,Select Condition of item
itm_select_deal_option,Select Deal Option
api_info,API Setting Information
api_title,API Setting
api_title_tooltips,API Name
api_order_by,Order By
btn_save,Save
btn_cancel,Cancel
success_api_edit,Successfully Updated
about_gallery,Gallery
categories_label,Categories
messages_label,Messages
total_label,Total
view_all_label,View All
divider_label,:
users_label,Users
app_setting,App Setting Information
apikey_info,Api Key Information
key_label,Key
success_apikey_edit,Api Key is successfully updated
success_apikey_add,Api Key is successfully added
earn_point_label,Earn Point
currency_info,Currency Information
currency_add,Add Currency
currency_symbol,Currency Symbol
currency_short_form,Currency Short Form
currency_add,Add Currency
success_currency_edit,Currency has been successfully updated
success_currency_add,Currency has been successfully added
success_currency_delete,Currency has been successfully deleted
delete_currency_label,Delete Currency?
currency_delete_confirm_message,Do you want to delete Currency?
currency_search,Search Currency
currency_edit,Edit Currency
err_currency_name,Please provide currency name
err_currency_len,The length of Currency Name must be greater than 4
err_currency_exist,Currency Name is already existed in the system
color_color,Color
select_type,Select Type
from_point,From Point :
to_point,To Point :
order_by,Order By :
select_order,Select Order
push_noti_sending_title,Sending Push Notification
no_device_label,There is no registered devices yet.
delete_color_label,Delete Color?
color_delete_confirm_message,Do you want to delete color?
upload_icon,Category Icon
about_upload_icon,Upload Icon
fav_upload_icon,Fav Icon
btn_upload,Upload
not_enough_point,"Sorry, your point is not enough."
view_count,View Counts
earn_point_label,Earned Point
download_count,Download Count
rating_count,Rating Count
terms_label,Terms and Conditions
about_img,About Cover Photo
select_csv_file,Select CSV File
something_wrong_upload,Something wrong in your uploaded data.
pls_upload_csv,Please upload CSV file.
sample_csv_format,Sample CSV is here : https://www.dropbox.com/s/oheyivxfgdlk129/sample.csv?dl=0
csv_upload_instruction,"Please follow those steps at below : <br>
1. Upload images to uploads folder manually via FTP. <br>
2. Upload thumbnail images to uploads/thumbnail folder manully via FTP.<br>
3. Then prepare like CSV format. Sample Here : http://bit.ly/2UvCjRp <br>
4. Need to follow those rules. Here : http://bit.ly/2T1Tjgp <br>
5. You can use Google Sheet to create and export as comma separator. <br>
6. Recommended is around 100 records at one CSV."
noti_sent_fail,Fail to send push notification
noti_sent_success,Successfully sent push notification to
reject_message_2,)
approve_message_2,)
uploaded_user,Uploaded User
delete_user_label,Delete Registered User?
user_delete_confirm_message,Do you want to delete all the Registered User?
user_yes_all_label,Yes All
user_no_only_label,Only Category
success_user_delete,Registered User has been successfully deleted
credit,Credit
price_info,Price Information
price_name,Price Name
price_edit,Edit Price
price_add,Add Price
price_search,Search Price
delete_price_label,Delete Price?
price_delete_confirm_message,Do you want to delete Price?
err_price_name,Please provide price name
err_price_len,The length of Price Name must be greater than 4
err_price_exist,Price Name is already existed in the system
success_price_edit,Price has been successfully updated
success_price_add,Price has been successfully added
success_price_delete,Price has been successfully deleted
type_info,Item Type Information
type_name,Type Name
type_edit,Edit Type
type_add,Add Type
type_search,Search Type
delete_type_label,Delete Type?
type_delete_confirm_message,Do you want to delete Type?
err_type_name,Please provide type name
err_type_len,The length of Type Name must be greater than 4
err_type_exist,Type Name is already existed in the system
success_type_edit,Type has been successfully updated
success_type_add,Type has been successfully added
success_type_delete,Type has been successfully deleted
location_info,Item Location Information
location_name,Location Name
location_edit,Edit Location
location_add,Add Location
location_search,Search Location
delete_location_label,Delete Location?
location_delete_confirm_message,Do you want to delete Location?
err_location_name,Please provide Location name
err_location_len,The length of Location Name must be greater than 4
err_location_exist,Location Name is already existed in the system
success_location_edit,Location has been successfully updated
success_location_add,Location has been successfully added
success_location_delete,Location has been successfully deleted
blog_add,Add Blog
blog_info,Blog Informations
blog_name,Blog Name
blog_desc,Blog Description
blog_edit,Edit Blogs
success_blog_add,Blogs has been successfully added
success_blog_edit,Blogs has been successfully updated
err_dup_name,Name is already existed in the system
err_blog_exist,Blog Name is already existed in the system
delete_blog_label,Delete Blog?
blog_delete_confirm_message,Are you sure to delete this blog?
success_blog_delete,Blogs has been successfully deleted
err_blog_len,The length of blog Name must be greater than 4
err_blog_name,Please provide blog name
blog_search,Blog Search
blog_gallery,Blog Gallery
btn_disable,Disable
report_edit,Edit Item Report
total_category_count_label,Total Categories
total_sub_cat_count_label,Total Subcategories
total_blog_count_label,Total Blogs
total_contact_count_label,Total Contact Message
popular_item,Most Popular Item
item_report,Reported Item
items_label,Recently Added Items
item_img,Item image upload
popular_item_info,Popular Item Information
popular_item_view,View Popular Item
app_setting_lable,App Setting Information
app_lat_label,Latitude
app_lng_label,Longitude
location_info_label,Location Information
err_chat_history_not_exist,No Record found in chat history
accept_update_success,Accept Offer has been successfully updated
err_accept_update,"Sorry, there is a problem in accept offer"
count_update_success,Reset Count has been successfully updated
err_count_update,"Sorry, there is a problem in reset count"
price_update_success,Price has been successfully updated
err_price_update,"Sorry, there is a problem in price"
err_accept_offer,"Sorry, you could not accepect the offer again."
overall_rating,Rating
user_is_verify_do_forgot_password,Your account is verified so please do forgot password.
user_view,View User
user_address,Address
user_city,City
about_me,About Me
verify_type,Verify Type
follower_count,Follower Count
following_count,Following Count
user_profile,Profile Photo
email_verify,Email Verify
facebook_verify,Facebook Verify
google_verify,Google Verify
phone_verify,Phone Verify
condition_name,Condition Name
cond_search,Search Condition
condition_add,Add Condition
condition_info,Item Condition Information
cond_edit,Edit Condition
delete_condition_label,Delete Condition?
condition_delete_confirm_message,Do you want to delete the conditions?
condition_yes_all_message,Yes All - Condition and Items will delete from system.
success_condition_edit,Condition has been successfully updated
success_condition_add,Condition has been successfully added
success_condition_delete,Condition has been successfully deleted
err_condition_name,Please provide condition name
err_condition_len,The length of Condition Name must be greater than 4
err_condition_exist,Condition Name is already existed in the system
option_name,Deal Option Name
cond_search,Search Deal Option
option_add,Add Deal Option
option_info,Item Deal Option Information
cond_edit,Edit Deal Option
delete_option_label,Delete Deal Option?
option_delete_confirm_message,Do you want to delete the Deal Options?
option_yes_all_message,Yes All - Deal Option and Items will delete from system.
success_option_edit,Deal Option has been successfully updated
success_option_add,Deal Option has been successfully added
success_option_delete,Deal Option has been successfully deleted
err_option_name,Please provide Deal Option name
err_option_len,The length of Deal Option Name must be greater than 4
err_option_exist,Deal Option Name is already existed in the system
lang_name,Language Name
btn_active,Active
lang_string,Language String
lang_add,Add Language
lang_info,Language Information
lang_symbol,Symbol
lang_search,Search Language
lang_edit,Edit Language
success_lang_edit,Language has been successfully updated
success_lang_add,Language has been successfully added
success_lang_delete,Language has been successfully deleted
err_lang_name,Please provide language name
err_lang_len,The length of Language Name must be greater than 4
err_lang_exist,Language Name is already existed in the system
delete_lang_label,Delete Language?
lang_delete_confirm_message,Do you want to delete all the string under that language together?
lang_yes_all_label,Yes All
lang_no_only_label,Only Language
lang_yes_all_message,Yes All - Language and Items will delete from system.
language_id,Language
lang_string_key,Key
lang_string_value,Value
lang_string_info,Language String Informaton
select_language,Selected Language
btn_import,Import
csv_symbol_link,Sample csv file here
lang_str_search,Search Language String
success_langstr_import,Language String successfully csv file uploaded
lang_str_add,Add Language String
lang_str_edit,Edit Language String
lang_active,Active
lang_deactive,Deactivate
success_lang_str_edit,Language String has been successfully updated
success_lang_str_add,Language String has been successfully added
err_lang_str_name,Please provide language string name
err_lang_str_len,The length of language string must be greater than 4
err_lang_str_exist,Language String is already existed in the system
lang_title,Deleted Language?
lang_warning,You can't delete active language.
btn_ok,OK
list_lang_label,Languages
list_lang_str_label,Language Strings
err_lang_symbol,Please provide language symbol
dashboard_label,Dashboard
cat_module,Categories
subcat_module,Subcategories
contact_module,Contact Us Message
system_user_module,System Users
register_user_module,Registered Users
about_module,App About
noti_module,Push Notification
analytic_module,Analytics
export_database_module,Export Database
app_user_module,APP User
popular_item_module,Most Popular Items
item_module,Items
api_key_module,Api Keys
api_setting_module,API Setting
rating_module,Most Rating Users
version_module,App Version
item_currency_module,Item Currency
item_price_module,Item Price
item_type_module,Item Type
blog_module,Blog
item_report_module,Reported Items
app_setting_module,App Setting
item_location_module,Location Cities
item_condition_module,Item Conditions
deal_option_module,Item Deal Option
language_module,Languages
paid_item_module,Sponsored Items Report
backend_setting_module,Backend Setting
start_date_label,Start Date
end_date_label,End Date
amount_label,Amount
payment_method_label,Payment Method
progress_label,Progress
finished_label,Finished
not_yet_start_label,Not yet start
today_label,Today
second_ago,seconds
minute_ago,minutes
hour_ago,hours
day_ago,days
week_ago,weeks
month_ago,months
year_ago,years
decade_ago,decades
just_now_label,Just Now
ago_label,ago
user_acc_reg_label,New User Account Registration
user_register_success_but_email_not_send,User register success but email not send
pwd_reset_label,Password Reset
hi_label,Hi
pwd_reset_link,Please click the following link to reset your password
reset_link_label,Reset Password
best_regards_label,Best Regards
new_user_acc,Your new User Account has been created. Welcome to Flutter Buy&Sell. Please verified with the code at below to actived your account.
verify_code_label,Verified Code
hi_admin_label,Hi Admin
name_label,Name
email_label,Email
phone_label,Phone
msg_label,Message
verify_code_sent,Verification code has been sent.
user_id_required,User ID is required.
invalid_login_user_id,User ID is invalid.
already_accept_user,User has been accepted.
sender_id_required,Sender ID is required
success_delete,Successfully Deleted.
success_cat_request,Your request successfully.
err_cat_request,Sorry
err_chat_history_save,Sorry
accept_reset_success,Your chat request successfully.
error_delete_chat_history,Sorry
success_delete_chat_history,Your chat history successfully deleted.
err_soldout_reset,Sorry
soldout_reset_success,Your reset has been success.
err_item_report,Sorry
token_already_exist,Sorry
err_in_noti_read,Sorry
success_noti_send,Notification has been sent successfully.
error_noti_send,Sorry
invalid_code,Sorry
backend_config_info_lable,Backend Setting Information
sender_name_label,Sender Name
receive_email_label,Receive Email
sender_email_label,Sender Email
img_section,Image Section
fcm_api_key_label,fcm api key
backend_login_img,Backend Login Background Image
backend_logo,Backend Logo
backend_fav_icon,Backend Fav Ico
upload_backend_logo,Upload Backend Logo
upload_fav_icon,Upload Fav Icon
upload_login_img,Upload Login Photo
transaction_module,Transactions History
history_search,Search Transactions History
trans_history_info,Transactions History Information
entry_group,Entry
reports_group,Reports
user_mang_group,Users Management
miscellaneous_group,Miscellaneous
setting_group,Setting
ple_sub_cat_name,Please Sub Category Name
ple_highlight_info,Please Highlight Information
forget_pwd,Forgot Password?
remove_label,Remove
his_info,History Information
err_paid_item_history,Your Ad is not yet finish so it is not able to modify.
paid_config_module,Payment Setting
currency_symbol_label,Currency Symbol (eg; $)
paypal_env_label,Paypal Environment
paypal_merchant_label,Paypal Merchant ID
paypal_pub_label,Paypal Public Key
paypal_pri_label,Paypal Private Key
paypal_enabled_label,Is Paypal Enabled?
stripe_publishable_key,Publishable Key
stripe_secret_key,Secret Key
stripe_enable_label,Is Enabled Stripe Payment?
stripe_label,[Option 2] : Payment With Stripe
paypal_label,[Option 1] : Payment With Paypal Enabled
day_label,Day
paid_config_info_lable,Paid Config Information
paid_currrency_setting,Currency Symbol Setting
paid_paypal_setting,Paypal Setting
paid_stripe_setting,Stripe Setting
success_backend_edit,Backend Setting has been successfully updated
smtp_section,SMTP Configuration
smtp_host_label,SMTP Host
smtp_host_placeholder,eg: ssl://smtp.hostmail.com
smtp_port_label,SMTP Port Number
smtp_enable,SMTP Enable?
smtp_user_label,SMTP User
smtp_pass_label,SMTP Password
topics_label,Topics
cannot_deactive,"Sorry, it is not able to deactivate."
err_symbol_exist,Language symbol is already existed in the system.
policy_info,Privacy Policy Information
content_label,Content
privacy_policy_module,Privacy Policy
success_policy_edit,Privacy Policy has been successfully updated
success_policy_add,Privacy Policy has been successfully added
paid_razor_setting,Razor Setting
razor_label,[Option 3] : Payment With Razor
razor_key_label,Razor Key
razor_enabled_label,Is Enabled Razor?
btn_promote,Promote
prd_paid_info,Item paid Information
app_is_approval_enabled,"Approval System On?(If this setting is ""On"" when user update new item it need to approve or reject from super admin.)"
approval_group,Approval
pending_items_module,Pending Items
reject_items_module,Reject Items
disable_items_module,Disable Items
select_status,Select Status?
pending_edit,Edit Pending Item
approve_message_1,Congratulation! Approved Item (
approve_message_2,)
disable_message_1,Sorry! Disable Item (
disable_message_2,)
reject_message_1,Sorry! Reject Item (
reject_message_2,)
reject_edit,Edit Reject Items
disable_edit,Edit Disable Items
noti_sent_fail,Fail to send push notification
noti_sent_success,Successfully sent push notification to
success_app_setting_edit,App Setting has been successfully updated
btn_no,No
module_group_lang,Menu Name Setting
group_name,Module Group Name
group_icon,Module Group Icon
group_lang_key,Language Key
group_info,Module Group Information
group_search,Search Module Group
group_add,Add Module Group
success_group_edit,Module Group has been successfully edited
success_group_add,Module Group has been successfully added
group_edit,Edit Module Group
success_group_delete,Module Group has been successfully deleted
err_group_name,Please provide module group
err_group_len,The length of Module Group Name must be greater than 4
err_group_exist,Module Group Name is already existed
module_lang,Sub Menu Name Setting
module_desc,Description
module_ordering,Ordering
module_add,Add Module
module_info,Module Information
module_name,Module Name
is_show_on_menu,Is Show On Menu?
module_lang_key,Module Language Key
module_select_group,Select Module Group
delete_module_label,Delete Module?
module_delete_confirm_message,Are you sure to delete this Module?
delete_group_label,Delete Module Group?
group_delete_confirm_message,Are you sure to delete this Module Group?
err_module_name,Please provide module name
err_module_len,The length of Module Name must be greater than 4
err_module_exist,Module Name is already existed
module_search,Search Module Name
success_module_edit,Module has been successfully updated.
success_module_add,Module has been successfully added.
module_edit,Edit Module
success_module_delete,Module has been successfully deleted.
approval_yes_all_message,Are you sure to Delete?
err_user_phone_exist,Phone is already existed in the system.
paid_history_edit,Edit Transaction history
paid_prd_add,Add Paid Item
delete_system_user_label,Delete System User?
system_user_delete_confirm_message,Are you sure to delete this System User?
loc_ordering,Ordering
record_not_found,"10001##Sorry, record not found."
no_record_pagination,"10002##Sorry, no more record in the system."
offline_paid_module,Offline Sponsored Items Request
offline_paid_prd_info,Offline Sponsored Items Information
offline_paid_edit,Edit Offline Sponsored Items
offline_setting,Offline Setting
offline_label,[Option 4] : Payment With Offline
offline_message,Message
offline_enabled_label,Is Enabled Offline?
prd_paid_info,Paid Item Information
offline_info,Offline Payment Information
offline_title_label,Offline Payment Title
offline_description_label,Offline Payment Description
offline_icon,Offline Payment Icon
offline_search,Search Offline Payment
offline_add,Add Offline Payment
offline_edit,Edit Offline Payment
success_offline_edit,Offline Payment has been successfully updated
success_offline_add,Offline Payment has been successfully added
success_offline_delete,Offline Payment has been successfully deleted
err_offline_name,Please provide offline payment title
err_offline_len,The length of offline payment title must be greater than 4
err_offline_exist,Offline Paymen Title is already existed in the system
delete_offline_label,Delete Offline Payment?
offline_delete_confirm_message,Do you want to delete all the offline payment?
offline_yes_all_label,Yes
offline_no_only_label,Cancel
offline_payment,Payment Offline Setting
offline_paid_module,Offline Sponsored Items Request
err_lat,Provide Latitude
err_lng,Provide Longitude
img_configuration,Image Configuration
land_width_label,Landscape Width
potrait_height_label,Potrait Height
square_label,Square Height
err_lat,Please provide Latitude
err_lng,Please provide Longitude
err_lat_lng,Your Latitude and Longitude must not be 0.0
offline_yes_all_message,Do you want to delete all the offline payment?
email_verification_enabled,"Email Verification Enabled?(If this setting is ""On"" when user register by using email it will send verification code to user registered email.)"
user_auto_approved,Your new User Account has been created. Welcome to Flutter Buy&Sell.
user_not_able_delete,"sorry, this is system account so it is not able to deactivate."
delete_allow_user_label,Delete Allowed User?
allow_user_delete_confirm_message,Do you want to delete all the Allowed User?
allowed_module_lang,Allowed Users
itm_promote_alert,Important : This item is under promotion now so please make sure for Disable Action.
success_block,User has been successfully blocked.
success_unblock,User has been successfully unblocked.
no_user_unblock,Unable to unblock the user.
unable_to_report,Unable to report the item because it is your own item.
success_logout,User has been successfully logout.
deeplink_section,Deep Linking Section
dyn_link_key_label,Dynamic link key
dyn_link_url_label,Dynamic linking url
dyn_link_package_name_label,Dynamic linking package name
dyn_link_domain_label,Dynamic linking domain
dyn_link_deep_url_label,Deep linking url
prd_dynamic_link_label,Product Dynamic Link
already_report,You have already reported to this item.
lat_invlaid,Latitude must be between -90 and 90 degrees inclusive.
lng_invlaid,Longitude must be between -180 and 180 degrees inclusive.
paystack_setting,Paystack Setting
paystack_label,[Option 5]: Payment with Paystack
paystack_key_label,Paystack Key
paystack_enabled_label,Is Paystack Enabled?
btn_duplicate,Duplicate
success_prd_duplicate_add,Duplicate Item has been successfully added
dyn_link_package_name_ios,Dynamic linking IOS package name
dyn_link_ios_appstore_id,Dynamic Linking IOS AppStore Id
purchase_add,Add In App Product
in_app_purchase_info,In App Purchased Informations
app_purchase_product_id_label,In App Purchased Product Id ( Item Promotion )
purchase_description_label,Description
purchase_type_label,Type
err_purchase_description,Please Provide Description
success_purchase_edit,In App Purchased has been successfully updated.
delete_purchase_label,Delete In App Purchased?
purchase_yes_all_message,Do you want to delete In App Purchased?
success_purchase_delete,In App Purchased has been successfully deleted.
in_app_purchased_setting,In App Purchased Setting
purchase_key_label,You cam make the payment with in app purchased
purchase_enabled_label,Is Purchase Enabled?
in_app_purchases,Payment In App Purchased Setting
data_delection_module,User Data Deletion
data_delete_info,User Data Deletion Information
is_show_email,Show Email
is_show_phone,Show Phone
data_delete_info,Data Deletion Policy Information
success_data_deletion_add,Data Deletion Policy has been successfully added.
success_data_deletion_edit,Data Deletion Policy has been successfully updated.
data_deletion_module,Data Deletion Policy
data_deletion_policy_url,Data Deletion Policy URL
privacy_policy_url,Privacy Policy URL
Privacy_policies,Privacy Policies
Data_deletions_policies,Data Deletion Policies
success_delete,Successfully deleted
location_townships,Loction Townships
location_township_add,Add Location Township
township_name,Township Name
item_location_module,Location Cities
is_default,Default
Prd_search_location_township,Select Item Location Township
itm_select_location_township,Select Item Location Township
location_township_name,Township Name
township_search,Search Township
township_edit,Edit Township
is_sub_location,"Sub Location On?(If this setting is ""On"" when the user open the app the user need to choose sub location(township) under the location(city) )"
followed_you,follow you.
bought_your_item,bought your item
you_bought,You bought
err_user_bought,"Sorry, there is a problem when clicking user bought."
success_user_bought,User bought has been successfully clicked.
thumbnail_generators_lng,Thumbnail Generator
btn_create_thumbnail,Thumbnail (1x2x3x) Generator
thumb_1x_label,Thumbnail 1x Image Size
thumb_2x_label,Thumbnail 2x Image Size
thumb_3x_label,Thumbnail 3x Image Size
image_lists_lng,Image Lists
img_name,Image Name
success_img_create,"Thumbnail 2x,3x has been created successfully."
img_not_exist,Image has not existed in upload folder.
select_location_label,Select Location
delete_offline_item_label,Delete Offline Item?
offline_item_delete_message_label,Are you sure to delete offline Item?
blue_mark,Blue Mark
blue_mark_verified,Blue Mark Verified
blue_mark_applied,Blue Mark Applied
blue_mark_rejected,Blue Mark Rejected
verify_blue_mark_noti_approve,"Congratulations, the admin approved your blue mark."
verify_blue_mark_noti_reject,"Sorry, the admin rejected your blue mark. You can try to apply again."
verify_email_not_send_user,Fail to send verify email to
del_photo,Delete Image?
upload_video,Upload Video
del_video,Delete Video?
del_video_confirm,Are you sure to delete Video?
success_video_delete,Video has been deleted successfully.
success_video_icon_delete,Video Icon has been deleted successfully.
apply_success,Blue Mark has been applied. Please wait for an admin approval.
blue_mark_pending,"Currently, you can't apply blue mark because you are in pending. So, please wait an admin approval."
already_blue_mark,You already got the blue mark.
note,Note
user_social_info_override,"User Social Information Override? If checked, the user's social information will be overried when you login with (google, facebook, phone and apple, etc...)"
recommended_size_img,Recommended Size : 400 x 200
recommended_size_icon,Recommended Size : 200 x 200
applied_date_label,Applied Date (DD/MM/YYYY)
pending,Pending
verified,Verified
rejected,Rejected
all,All
blue_mark_users_label,Verify Blue Mark Users
app_token_label,App Token ( for Facebook profile picture )
already_sold_out,The item has already sold out and you can't make offer.
city_id_required,Please select city id.
err_township_name,Please provide township name.
err_township_len,The length of Township Name must be greater than 4.
