key,valor
err_user_update,"Desculpe, há um problema ao atualizar as informações do usuário."
err_user_password_update,"Desculpe, há um problema ao atualizar a senha do usuário."
success_profile_update,Profile has been successfully updated.
success_email_sent,O email é enviado com sucesso.
success_reset,A senha foi redefinida com sucesso
success_reset_email_sent,Redefinir email é enviado com sucesso
trending,Notícias de tendências
editor_pick,Editor Picked News
list_product_nav,Item
prd_add,Adicionar Item
att_add,Adicionar novo atributo
add_att_detail,Add New Attribute Detail
list_attribute_header,Lista de Cabeçalhos de Atributos
item_name,Nome do item
att_name,Nome do Atributo
Prd_search_subcat,Informações sobre o item
Prd_search_dis,Selecionar tipo de desconto
product_gallery,Galeria de itens
prd_info,Informações sobre o item
rec_prd_info,Itens Adicionados Recentemente
att_info,Informações sobre atributos
prd_desc,descrição do item
prd_high_info,Informações sobre o item em destaque
prd_edit,Editar item
prd_code,Código do item
success_prd_add,O item foi adicionado com sucesso
success_prd_edit,O item foi atualizado com sucesso
success_upload,A imagem foi atualizada com sucesso
delete_prd_label,Apagar item?
prd_yes_all_message,"Ao excluir este item, ele excluirá todas as subcategorias e categorias relacionadas também. Então, você ainda deseja excluí-lo?"
success_prd_delete,O item foi excluído com sucesso
prd_search,Pesquisar Item
err_item_name,Forneça o nome do item
err_item_len,O comprimento do nome do item deve ser maior que 4
err_item_exist,O nome do item já existe no sistema
item_gallery,Galeria de itens
condition_of_item,Condição do item
item_description_label,Descrição
deal_option_id_label,Opção de transação
meet_up_label,Encontro
mailing_or_delivery_label,Envio ou entrega
brand_label,Marca
price,Preço
itm_title_label,Título
itm_business_mode,É Shop?
itm_show_shop,(Se o usuário do show puder pedir mais de um)
itm_is_sold_out,Está esgotado?
location_info_label,Informações de localização
itm_address_label,Endereço
itm_lat_label,Latitude
itm_lng_label,Longitude
itm_select_price,Selecionar tipo de preço
itm_select_type,Selecionar tipo de item
itm_select_currency,Selecionar moeda do item
status_label,Status
select_status_label,Selecione Status
itm_select_location,Selecionar localização do item
find_location_label,Digite e localize a localização da API do Google
itm_select_condition_of_item,Selecione Condição do item
itm_select_deal_option,Selecionar opção de oferta
api_info,Informações de configuração da API
api_title,Configuração da API
api_title_tooltips,Nome da API
api_order_by,Ordenar por
btn_save,Salve
btn_cancel,Cancelar
success_api_edit,Atualizado com sucesso
about_gallery,Galeria
categories_label,Categorias
messages_label,Mensagens
total_label,Total
view_all_label,Ver tudo
divider_label,:
users_label,Comercial
app_setting,Informações de configuração do aplicativo
apikey_info,Informações-chave da API
key_label,Chave
success_apikey_edit,Api Key é atualizado com sucesso
success_apikey_add,A API Key foi adicionada com sucesso
earn_point_label,Ganhe Ponto
currency_info,Informações sobre Moedas
currency_add,Adicionar moeda
currency_symbol,Símbolo Monetário
currency_short_form,Forma abreviada de moeda
currency_add,Adicionar moeda
success_currency_edit,A moeda foi atualizada com sucesso
success_currency_add,A moeda foi adicionada com sucesso
success_currency_delete,A moeda foi excluída com sucesso
delete_currency_label,Excluir moeda?
currency_delete_confirm_message,Deseja excluir a moeda?
currency_search,Moeda de Pesquisa
currency_edit,Editar Moeda
err_currency_name,Forneça o nome da moeda
err_currency_len,O comprimento do nome da moeda deve ser maior que 4
err_currency_exist,O nome da moeda já existe no sistema
color_color,Cor
select_type,Selecione o tipo
from_point,Do ponto:
to_point,Apontar :
order_by,Ordenar por :
select_order,Selecionar pedido
push_noti_sending_title,Enviando notificação por push
no_device_label,Ainda não há dispositivos registrados.
delete_color_label,Excluir cor?
color_delete_confirm_message,Deseja excluir cores?
upload_icon,Ícone da categoria
about_upload_icon,Carregar ícone
fav_upload_icon,Ícone fav
sidebar_upload_icon,Logotipo da barra lateral
btn_upload,Envio
not_enough_point,"Desculpe, seu argumento não é suficiente."
view_count,Exibir contagens
earn_point_label,Ponto ganho
download_count,Contagem de downloads
rating_count,Contagem de classificação
terms_label,Termos e Condições
about_img,Sobre a foto da capa
select_csv_file,Selecione arquivo CSV
something_wrong_upload,Algo errado nos seus dados enviados.
pls_upload_csv,Faça o upload do arquivo CSV.
sample_csv_format,O exemplo de CSV está aqui : https://www.dropbox.com/s/oheyivxfgdlk129/sample.csv?dl=0
csv_upload_instruction,"Siga os passos abaixo : <br>
1. Carregar imagens para a pasta de uploads manualmente via FTP. <br>
2. Carregue imagens em miniatura para carregar / pasta de miniaturas manualmente via FTP. <br>
3. Em seguida, prepare como o formato CSV. Amostra Aqui : http://bit.ly/2UvCjRp <br>
4. Precisa seguir essas regras. Aqui : http://bit.ly/2T1Tjgp <br>
5. Você pode usar o Google Sheet para criar e exportar como separador de vírgulas. <br>
6. Recomendado é de cerca de 100 registros em um CSV."
noti_sent_fail,Falha ao enviar notificação por push
noti_sent_success,Enviada com êxito a notificação por push para
reject_message_2,)
approve_message_2,)
uploaded_user,Usuário enviado
delete_user_label,Excluir usuário registrado?
user_delete_confirm_message,Deseja excluir todo o usuário registrado?
user_yes_all_label,Sim todos
user_no_only_label,Apenas categoria
success_user_delete,Usuário registrado foi excluído com sucesso
credit,Crédito
price_info,Informações sobre preços
price_name,Nome do preço
price_edit,Editar preço
price_add,Adicionar Preço
price_search,Preço de pesquisa
delete_price_label,Excluir preço?
price_delete_confirm_message,Deseja excluir o preço?
err_price_name,Forneça o nome do preço
err_price_len,O comprimento do nome do preço deve ser maior que 4
err_price_exist,Price Name is already existed in the system
success_price_edit,O preço foi atualizado com sucesso
success_price_add,O preço foi adicionado com sucesso
success_price_delete,O preço foi excluído com sucesso
type_info,Informações sobre o tipo de item
type_name,Digite o nome
type_edit,Edit Type
type_add,Adicionar tipo
type_search,Tipo de pesquisa
delete_type_label,Excluir tipo?
type_delete_confirm_message,Deseja excluir o Type?
err_type_name,Forneça o nome do tipo
err_type_len,O comprimento do Nome do tipo deve ser maior que 4
err_type_exist,O nome do tipo já existe no sistema
success_type_edit,O tipo foi atualizado com sucesso
success_type_add,O tipo foi adicionado com sucesso
success_type_delete,O tipo foi excluído com sucesso
location_info,Informações de localização do item
location_name,Nome do local
location_edit,Editar localização
location_add,Adicionar local
location_search,Pesquisar Localização
delete_location_label,Excluir local?
location_delete_confirm_message,Deseja excluir o local?
err_location_name,Forneça o nome do local
err_location_len,O comprimento do nome do local deve ser maior que 4
err_location_exist,O nome do local já existe no sistema
success_location_edit,O local foi atualizado com sucesso
success_location_add,O local foi adicionado com sucesso
success_location_delete,O local foi excluído com sucesso
blog_add,Adicionar Blog
blog_info,Informações do blog
blog_name,Nome do blog
blog_desc,Descrição do blog
blog_edit,Editar Blogs
success_blog_add,Os blogs foram adicionados com sucesso
success_blog_edit,Os blogs foram atualizados com sucesso
err_dup_name,O nome já existe no sistema
err_blog_exist,O nome do blog já existe no sistema
delete_blog_label,Excluir blog?
blog_delete_confirm_message,Tem certeza de que deseja excluir este blog?
success_blog_delete,Tem certeza de que deseja excluir este blog?
err_blog_len,O comprimento do nome do blog deve ser maior que 4
err_blog_name,Forneça o nome do blog
blog_search,Pesquisa de blogs
blog_gallery,Galeria do Blog
btn_disable,Desativar
report_edit,Editar relatório de itens
total_category_count_label,Total de Categorias
total_sub_cat_count_label,Total de subcategorias
total_blog_count_label,Total de blogs
total_contact_count_label,Total da mensagem de contato
popular_item,Item mais popular
item_report,Item relatado
items_label,Itens Adicionados Recentemente
item_img,Imagem do item
popular_item_info,Informações sobre itens populares
popular_item_view,Exibir Item Popular
app_setting_lable,Informações de configuração do aplicativo
app_lat_label,Latitude
app_lng_label,Longitude
location_info_label,Informações de localização
err_chat_history_not_exist,Nenhum registro encontrado no histórico de bate-papo
accept_update_success,A oferta de aceitação foi atualizada com sucesso
err_accept_update,"Desculpe, há um problema na aceitação da oferta"
count_update_success,A contagem de redefinições foi atualizada com sucesso
err_count_update,"Desculpe, há um problema na contagem de redefinições"
price_update_success,O preço foi atualizado com sucesso
err_price_update,"Desculpe, há um problema no preço"
err_accept_offer,"Desculpe, você não pôde aceitar a oferta novamente."
overall_rating,Avaliação
user_is_verify_do_forgot_password,"Sua conta foi confirmada, por favor, esqueça a senha."
user_view,Ver Usuário
user_address,Endereço
user_city,Cidade
about_me,Sobre mim
verify_type,Verificar tipo
follower_count,Contagem de seguidores
following_count,Contagem seguinte
user_profile,Foto de perfil
email_verify,Confirmar email
facebook_verify,Verificação do Facebook
google_verify,Google Verify
phone_verify,Verificação de telefone
condition_name,Nome da Condição
cond_search,Condição de Pesquisa
condition_add,Adicionar Condição
condition_info,Informações sobre a condição do item
cond_edit,Editar Condição
delete_condition_label,Excluir condição?
condition_delete_confirm_message,Deseja excluir as condições?
condition_yes_all_message,Sim Tudo - A condição e os itens serão excluídos do sistema.
success_condition_edit,A condição foi atualizada com sucesso
success_condition_add,A condição foi adicionada com sucesso
success_condition_delete,A condição foi excluída com sucesso
err_condition_name,Forneça o nome da condição
err_condition_len,O comprimento do Nome da Condição deve ser maior que 4
err_condition_exist,O nome da condição já existe no sistema
option_name,Nome da opção de transação
cond_search,Opção de transação de pesquisa
option_add,Adicionar opção de oferta
option_info,Informações sobre a opção de oferta do item
cond_edit,Editar opção de transação
delete_option_label,Excluir opção de oferta?
option_delete_confirm_message,Deseja excluir as Opções da oferta?
option_yes_all_message,Sim Todas as opções e itens de operação serão excluídos do sistema.
success_option_edit,A opção de oferta foi atualizada com sucesso
success_option_add,A opção de oferta foi adicionada com sucesso
success_option_delete,A opção de oferta foi excluída com sucesso
err_option_name,Forneça o nome da Opção de transação
err_option_len,O comprimento do Nome da opção de negociação deve ser maior que 4
err_option_exist,O nome da opção de negociação já existe no sistema
lang_name,Nome do idioma
btn_active,Ativa
lang_string,Idioma String
lang_add,Adicionar idioma
lang_info,Informações sobre o idioma
lang_symbol,Symbol
lang_search,Idioma de pesquisa
lang_edit,Editar idioma
success_lang_edit,O idioma foi atualizado com sucesso
success_lang_add,O idioma foi adicionado com sucesso
success_lang_delete,O idioma foi excluído com sucesso
err_lang_name,Forneça o nome do idioma
err_lang_len,O comprimento do nome do idioma deve ser maior que 4
err_lang_exist,O nome do idioma já existe no sistema
delete_lang_label,Excluir idioma?
lang_delete_confirm_message,Deseja excluir toda a cadeia de caracteres nesse idioma?
lang_yes_all_label,Sim todos
lang_no_only_label,Apenas idioma
lang_yes_all_message,Sim tudo - o idioma e os itens serão excluídos do sistema.
language_id,Língua
lang_string_key,Key
lang_string_value,Valor
lang_string_info,Informações sobre strings de idiomas
select_language,Selected Language
btn_import,Importar
csv_symbol_link,Exemplo de arquivo csv aqui
lang_str_search,String do idioma de pesquisa
success_langstr_import,Idioma String carregado com êxito arquivo csv
lang_str_add,Adicionar sequência de idiomas
lang_str_edit,Editar sequência de idiomas
lang_active,Ativa
lang_deactive,Desativar
success_lang_str_edit,A sequência de idiomas foi atualizada com sucesso
success_lang_str_add,Idioma String foi adicionada com sucesso
err_lang_str_name,Forneça o nome da string do idioma
err_lang_str_len,O comprimento da string do idioma deve ser maior que 4
err_lang_str_exist,Linguagem String já existe no sistema
lang_title,Idioma excluído?
lang_warning,Você não pode excluir o idioma ativo.
btn_ok,Está bem
list_lang_label,línguas
list_lang_str_label,Sequências de idiomas
err_lang_symbol,Forneça o símbolo do idioma
dashboard_label,painel de controle
cat_module,Categorias
subcat_module,Subcategorias
contact_module,Fale Conosco Mensagem
system_user_module,Usuários do sistema
register_user_module,Usuários registrados
about_module,Sobre e definindo
noti_module,Push Notification
analytic_module,Google Analytics
export_database_module,Exportar banco de dados
app_setting_module,APP Setting
popular_item_module,Most Popular Items
item_module,Itens
api_key_module,Api Keys
api_setting_module,Configuração da API
rating_module,A maioria dos usuários de classificação
version_module,Versão
item_currency_module,Moeda do item
item_price_module,Preço do item
item_type_module,Tipo de item
blog_module,Blog
item_report_module,Itens relatados
app_setting_module,Configuração de aplicativo
item_location_module,Localização do item
item_condition_module,Condições do item
deal_option_module,Opção de transação de item
language_module,línguas
paid_item_module,Relatório de itens patrocinados
start_date_label,Data de início
end_date_label,Data final
amount_label,Montante
payment_method_label,Forma de pagamento
progress_label,Progresso
finished_label,Acabada
not_yet_start_label,Ainda não iniciar
today_label,Hoje
second_ago,segundos
minute_ago,minutos
hour_ago,horas
day_ago,dias
week_ago,semanas
month_ago,meses
year_ago,anos
decade_ago,décadas
just_now_label,Agora mesmo
ago_label,atrás
user_acc_reg_label,Registro de nova conta de usuário
user_register_success_but_email_not_send,"O registro do usuário foi bem-sucedido, mas o e-mail não foi enviado"
pwd_reset_label,Redefinição de senha
hi_label,Oi
pwd_reset_link,Clique no link a seguir para redefinir sua senha
reset_link_label,Redefinir senha
best_regards_label,Cumprimentos
new_user_acc,Sua nova conta de usuário foi criada. Bem-vindo ao Flutter Buy & Sell. Verifique com o código abaixo para ativar sua conta.
verify_code_label,Código Verificado
hi_admin_label,Olá Admin
name_label,Nome
email_label,O email
phone_label,telefone
msg_label,mensagem
verify_code_sent,O código de verificação foi enviado.
user_id_required,O ID do usuário é obrigatório.
invalid_login_user_id,O ID do usuário é inválido.
already_accept_user,Usuário foi aceito.
sender_id_required,O ID do remetente é obrigatório
success_delete,Excluído com sucesso.
success_cat_request,Sua solicitação com sucesso.
err_cat_request,"Desculpe, seu pedido não foi bem-sucedido."
err_chat_history_save,"Desculpe, seu histórico de bate-papo não pode ser salvo."
accept_reset_success,Sua solicitação de bate-papo com sucesso.
error_delete_chat_history,"Desculpe, seu histórico de bate-papo não pode ser excluído."
success_delete_chat_history,Seu histórico de bate-papo foi excluído com sucesso.
err_soldout_reset,"Desculpe, você não pode ficar esgotado."
soldout_reset_success,Sua redefinição foi bem-sucedida.
err_item_report,"Desculpe, você não pode reportar itens."
token_already_exist,"Desculpe, o token do dispositivo já existe."
err_in_noti_read,"Desculpe, a notificação não pode ler."
success_noti_send,A notificação foi enviada com sucesso.
error_noti_send,"Desculpe, a notificação não pode enviar."
invalid_code,"Desculpe, seu código é inválido."
backend_config_info_lable,Backend Setting Information
sender_name_label,Sender Name
receive_email_label,Receber e-mail
sender_email_label,E-mail do remetente
img_section,Seção de Imagem
fcm_api_key_label,tecla api do fcm
backend_login_img,Imagem de fundo do login de back-end
backend_logo,Logotipo de back-end
backend_fav_icon,Favicon de back-end
upload_backend_logo,Carregar logotipo de back-end
upload_fav_icon,Carregar ícone Fav
upload_login_img,Carregar foto de login
transaction_module,Histórico de transações
history_search,Histórico de transações de pesquisa
trans_history_info,Informações do histórico de transações
entry_group,Entrada
reports_group,Relatórios
user_mang_group,Gerenciamento de usuários
miscellaneous_group,Diversas
setting_group,Configuração
ple_sub_cat_name,Nome da subcategoria
ple_highlight_info,Destaque Informações
forget_pwd,Esqueceu a senha?
remove_label,Retirar
his_info,Informações da História
err_paid_item_history,Seu anúncio ainda não foi concluído e portanto não pode ser modificado.
paid_config_module,Configurações pagas
currency_symbol_label,Símbolo monetário (por exemplo $)
paypal_env_label,Ambiente Paypal
paypal_merchant_label,ID do comerciante Paypal
paypal_pub_label,Chave pública do Paypal
paypal_pri_label,Chave privada Paypal
paypal_enabled_label,O Paypal está ativado?
stripe_publishable_key,Chave publicável
stripe_secret_key,Chave secreta
stripe_enable_label,O pagamento por faixa ativada está ativado?
stripe_label,[Opção 2]: Pagamento com faixa
paypal_label,[Opção 1]: Pagamento com Paypal ativado
day_label,Dia
paid_config_info_lable,Informações de configuração paga
paid_currrency_setting,Configuração do símbolo de moeda
paid_paypal_setting,Configuração Paypal
paid_stripe_setting,Configuração de distribuição
success_backend_edit,A configuração de back-end foi atualizada com sucesso
smtp_section,Configuração SMTP
smtp_host_label,Host SMTP
smtp_host_placeholder,por exemplo: ssl: //smtp.hostmail.com
smtp_port_label,Número da porta SMTP
smtp_enable,Ativar SMTP?
smtp_user_label,Usuário SMTP
smtp_pass_label,Senha SMTP
topics_label,Tópicas
cannot_deactive,"Desculpe, não é possível desativar."
error_symbol_exist,O símbolo do idioma já existe no sistema.
backend_setting_module,Configuração de back-end
policy_info,Informações da Política de Privacidade
content_label,Conteúdo
privacy_policy_module,Política de Privacidade
success_policy_edit,A Política de Privacidade foi atualizada com sucesso
success_policy_add,A Política de Privacidade foi adicionada com sucesso
razor_label,[Opção 3]: Pagamento com navalha
razor_key_label,Chave de navalha
razor_enabled_label,O Razor está ativado?
btn_promote,Promover
prd_paid_info,Item pago Informações
app_is_approval_enabled,"Sistema de aprovação ativado?(Se essa configuração é On"" quando a atualização usuário novo item ele precisa para aprovar ou rejeitar a partir de super administrador.)"
approval_group,Aprovação
pending_items_module,Itens Pendentes
reject_items_module,Rejeitar itens
disable_items_module,Desativar itens
select_status,Selecione Status?
pending_edit,Editar item pendente
approve_message_1,Parabéns! Item aprovado (
approve_message_2,)
disable_message_1,Desculpe! Item Disable(
disable_message_2,)
reject_message_1,Desculpe! Rejeitar Item (
reject_message_2,)
reject_edit,Editar itens rejeitados
disable_edit,Editar itens desativados
noti_sent_fail,Falha ao enviar notificação por push
noti_sent_success,Enviada com êxito a notificação por push para
success_app_setting_edit,A configuração do aplicativo foi atualizada com sucesso
btn_no,Não
module_group_lang,Grupo de módulos
group_name,Nome do grupo de módulos
group_icon,Ícone do grupo de módulos
group_lang_key,Chave de idioma
group_info,Informações do grupo de módulos
group_search,Grupo de módulos de pesquisa
group_add,Adicionar grupo de módulos
success_group_edit,O grupo de módulos foi editado com sucesso
success_group_add,O grupo de módulos foi adicionado com sucesso
group_edit,Editar grupo de módulos
success_group_delete,O grupo de módulos foi excluído com sucesso
err_group_name,Forneça o grupo de módulos
err_group_len,O comprimento do nome do grupo de módulos deve ser maior que 4
err_group_exist,O nome do grupo de módulos já existe
module_lang,Módulo
module_desc,Descrição
module_ordering,Encomenda
module_add,Adicionar módulo
module_info,Informações do módulo
module_name,nome do módulo
is_show_on_menu,Mostrar no menu?
module_lang_key,Chave de idioma do módulo
module_select_group,Selecionar grupo de módulos
delete_module_label,Excluir módulo?
module_delete_confirm_message,Tem certeza de que deseja excluir este módulo?
delete_group_label,Excluir grupo de módulos?
group_delete_confirm_message,Tem certeza de que deseja excluir este grupo de módulos?
err_module_name,Forneça o nome do módulo
err_module_len,O comprimento do nome do módulo deve ser maior que 4
err_module_exist,O nome do módulo já existe
module_search,Nome do módulo de pesquisa
success_module_edit,O módulo foi atualizado com sucesso.
success_module_add,O módulo foi adicionado com sucesso.
module_edit,Módulo de edição
success_module_delete,O módulo foi excluído com sucesso.
approval_yes_all_message,Você tem certeza que quer deletar?
err_user_phone_exist,O telefone já existe no sistema.
paid_history_edit,Editar histórico de transações
paid_prd_add,Adicionar item pago
delete_system_user_label,Excluir usuário do sistema?
system_user_delete_confirm_message,Tem certeza de que deseja excluir este usuário do sistema?
loc_ordering,Encomenda
record_not_found,10001 ## Desculpe registro não encontrado.
no_record_pagination,10002 ## Desculpe não há mais registro no sistema.
offline_paid_module,Itens pagos offline
offline_paid_prd_info,Informações de itens pagos offline
offline_paid_edit,Editar Item Pago Offline
offline_setting,Configuração offline
offline_label,[Opção 4]: Pagamento com offline
offline_message,mensagem
offline_enabled_label,Está ativado off-line?
prd_paid_info,Informação do item pago
offline_info,Informação de pagamento offline
offline_title_label,Título de pagamento offline
offline_description_label,Descrição de pagamento offline
offline_icon,Ícone de pagamento offline
offline_search,Pesquisar pagamento offline
offline_add,Adicionar pagamento offline
offline_edit,Editar pagamento offline
success_offline_edit,O pagamento offline foi atualizado com sucesso
success_offline_add,O pagamento offline foi adicionado com sucesso
success_offline_delete,O pagamento offline foi excluído com sucesso
err_offline_name,Forneça título de pagamento offline
err_offline_len,O comprimento do título do pagamento offline deve ser maior que 4
err_offline_exist,O título offline do Paymen já existe no sistema
delete_offline_label,Excluir pagamento offline?
offline_delete_confirm_message,Você quer excluir todos os pagamentos offline?
offline_yes_all_label,sim
offline_no_only_label,Cancelar
offline_payment,Métodos de pagamento offline
offline_paid_module,Itens pagos offline
img_configuration,Configuração de imagem
