key,valeur
err_noti_unregister,"Désolé, il y a un problème de désinscription de la notification push"
success_touch_count,Appuyez sur Compter avec succès inséré.
err_touch_count,Problème dans le comptage tactile!
err_user_register,"Désolé, il y a un problème pour l'enregistrement des utilisateurs."
err_user_not_exist,"Désolé, l'utilisateur n'existe pas dans le système."
err_user_not_verify,"Désolé, votre compte n'est pas encore validé."
err_email_not_send,"Désolé, il y a un problème lors de l'envoi d'un e-mail."
err_user_update,"Désolé, il y a un problème lors de la mise à jour des informations utilisateur."
err_user_password_update,"Désolé, il y a un problème dans la mise à jour du mot de passe de l'utilisateur."
success_profile_update,Votre profil a été mis à jour avec succès.
success_email_sent,L'e-mail a été envoyé avec succès.
success_reset,Le mot de passe a été réinitialisé avec succès
success_reset_email_sent,L'e-mail de réinitialisation a été envoyé avec succès
trending,Nouvelles tendances
editor_pick,Nouvelles choisies par l'éditeur
list_product_nav,Article
prd_add,Ajouter un item
att_add,Ajouter un nouvel attribut
add_att_detail,Ajouter un nouveau détail d'attribut
list_attribute_header,Liste d'en-tête d'attribut
wrn_no_data,Il n'y a pas encore de données
item_name,Nom de l'article
att_name,Nom d'attribut
Prd_search_subcat,Sélectionnez le nom de la sous-catégorie
Prd_search_dis,Sélectionnez le type de remise
product_gallery,Galerie d'objets
prd_info,Informations sur l'élément
rec_prd_info,Articles récemment ajoutés
att_info,Informations sur les attributs
prd_desc,Description de l'objet
prd_high_info,Informations sur les éléments mis en évidence
prd_edit,Modifier l'article
prd_code,Code de l'article
success_prd_add,L'élément a été ajouté avec succès
success_prd_edit,L'élément a été mis à jour avec succès
success_upload,L'image a été mise à jour avec succès
delete_prd_label,Effacer l'article?
prd_yes_all_message,"Lorsque vous supprimez cet élément, il supprimera également toutes les sous-catégories et catégories associées. Voulez-vous toujours le supprimer?"
success_prd_delete,L'élément a été supprimé avec succès
prd_search,Rechercher un élément
err_item_name,Veuillez fournir le nom de l'article
err_item_len,La longueur du nom de l'article doit être supérieure à 4
err_item_exist,Le nom de l'article existe déjà dans le système
item_gallery,Galerie d'objets
condition_of_item,Condition de l'article
item_description_label,La description
deal_option_id_label,Option de transaction
meet_up_label,Se rencontrer
mailing_or_delivery_label,Envoi ou livraison
brand_label,Marque
price,Prix
itm_title_label,Titre
itm_business_mode,Est-ce que Shop?
itm_show_shop,(Si l'utilisateur d'exposition peut en commander plusieurs)
itm_is_sold_out,Est épuisé?
location_info_label,Information de Lieu
itm_address_label,Adresse
itm_lat_label,Latitude
itm_lng_label,Longitude
itm_select_price,Sélectionnez le type de prix
itm_select_type,Sélectionnez le type d'élément
itm_select_currency,Sélectionnez la devise de l'article
status_label,Statut
select_status_label,Sélectionnez le statut
itm_select_location,Sélectionner l'emplacement de l'article
find_location_label,Saisir et rechercher un emplacement à partir de l'API Google
itm_select_condition_of_item,Sélectionnez la condition de l'article
itm_select_deal_option,Sélectionnez l'option de transaction
api_info,Informations sur les paramètres de l'API
api_title,Paramètre API
api_title_tooltips,Nom de l'API
api_order_by,Commandé par
btn_save,sauvegarder
btn_cancel,Annuler
success_api_edit,Mise à jour réussie
about_gallery,Galerie
categories_label,Les catégories
messages_label,messages
Totale,Total
view_all_label,Voir tout
divider_label,:
users_label,Utilisatrices
app_setting,Informations sur les paramètres de l'application
apikey_info,Informations clés Api
key_label,Clé
success_apikey_edit,Api Key est mis à jour avec succès
success_apikey_add,Api Key est ajouté avec succès
earn_point_label,Gagnez des points
currency_info,Informations sur les devises
currency_add,Ajouter une devise
currency_symbol,Symbole de la monnaie
currency_short_form,Forme abrégée de la devise
currency_add,Ajouter une devise
success_currency_edit,La devise a bien été mise à jour
success_currency_add,La devise a été ajoutée avec succès
success_currency_delete,La devise a bien été supprimée
delete_currency_label,Supprimer la devise?
currency_delete_confirm_message,Voulez-vous supprimer la devise?
currency_search,Recherche de devise
currency_edit,Modifier la devise
err_currency_name,Veuillez fournir le nom de la devise
err_currency_len,La longueur du nom de la devise doit être supérieure à 4
err_currency_exist,Le nom de la devise existe déjà dans le système
color_color,Couleur
select_type,Sélectionner le genre
from_point,Du point:
to_point,Pointer :
order_by,Commandé par :
select_order,Sélectionnez votre commande
push_noti_sending_title,Envoi d'une notification push
no_device_label,Il n'y a pas encore d'appareils enregistrés.
delete_color_label,Supprimer la couleur?
color_delete_confirm_message,Voulez-vous supprimer la couleur?
upload_icon,Icône de catégorie
about_upload_icon,Icône de téléchargement
fav_upload_icon,Icône Fav
sidebar_upload_icon,Logo de la barre latérale
btn_upload,Télécharger
not_enough_point,"Désolé, votre point ne suffit pas."
view_count,Voir les comptes
earn_point_label,Point gagné
download_count,Télécharger Count
rating_count,Nombre de notes
terms_label,Termes et conditions
about_img,À propos de la photo de couverture
select_csv_file,Sélectionnez un fichier CSV
something_wrong_upload,Quelque chose ne va pas dans vos données téléchargées.
pls_upload_csv,Veuillez télécharger le fichier CSV.
sample_csv_format,Un exemple de CSV est ici
csv_upload_instruction,"Veuillez suivre les étapes ci-dessous: <br>
1. Téléchargez des images dans le dossier de téléchargement manuellement via FTP. <br>
2. Téléchargez des images miniatures dans le dossier de téléchargements / miniatures manuellement via FTP. <br>
3. Préparez ensuite le même format CSV. Échantillon ici: http://bit.ly/2UvCjRp <br>
4. Besoin de suivre ces règles. Ici: http://bit.ly/2T1Tjgp <br>
5. Vous pouvez utiliser Google Sheet pour créer et exporter comme séparateur de virgules. <br>
6. Recommandé est d'environ 100 enregistrements à un CSV."
noti_sent_fail,Impossible d'envoyer une notification push
noti_sent_success,Envoi d'une notification push à
reject_message_2,)
approve_message_2,)
uploaded_user,Utilisateur transféré
delete_user_label,Supprimer l'utilisateur enregistré?
user_delete_confirm_message,Voulez-vous supprimer tous les utilisateurs enregistrés?
Oui tout,Oui tout
user_no_only_label,Catégorie uniquement
success_user_delete,L'utilisateur enregistré a été supprimé avec succès
credit,Crédit
price_info,Information sur les prix
price_name,Nom du prix
price_edit,Modifier le prix
price_add,Ajouter un prix
price_search,Prix de recherche
delete_price_label,Supprimer le prix?
price_delete_confirm_message,Voulez-vous supprimer le prix?
err_price_name,Veuillez fournir le nom du prix
err_price_len,La longueur du nom du prix doit être supérieure à 4
err_price_exist,Le nom du prix existe déjà dans le système
success_price_edit,Le prix a été mis à jour avec succès
success_price_add,Le prix a été ajouté avec succès
success_price_delete,Le prix a été supprimé avec succès
type_info,Informations sur le type d'élément
type_name,Nom du type
type_edit,Modifier le type
type_add,Ajouter un type
type_search,Type de recherche
delete_type_label,Supprimer le type?
type_delete_confirm_message,Voulez-vous supprimer le type?
err_type_name,Veuillez fournir le nom du type
err_type_len,La longueur du nom de type doit être supérieure à 4
err_type_exist,Le nom de type existe déjà dans le système
success_type_edit,Le type a été mis à jour avec succès
success_type_add,Le type a été ajouté avec succès
success_type_delete,Le type a été supprimé avec succès
location_info,Informations sur l'emplacement de l'article
location_name,Nom de la localisation
location_edit,Modifier l'emplacement
location_add,Ajouter un emplacement
location_search,Lieu de recherche
delete_location_label,Supprimer l'emplacement?
location_delete_confirm_message,Voulez-vous supprimer l'emplacement?
err_location_name,Veuillez fournir le nom du lieu
err_location_len,La longueur du nom de l'emplacement doit être supérieure à 4
err_location_exist,Le nom de l'emplacement existe déjà dans le système
success_location_edit,L'emplacement a été mis à jour avec succès
success_location_add,L'emplacement a été ajouté avec succès
success_location_delete,L'emplacement a été supprimé avec succès
blog_add,Ajouter un blog
blog_info,Informations sur le blog
blog_name,Nom du blog
blog_desc,Description du blog
blog_edit,Modifier des blogs
success_blog_add,Les blogs ont été ajoutés avec succès
success_blog_edit,Les blogs ont été mis à jour avec succès
err_dup_name,Le nom existe déjà dans le système
err_blog_exist,Le nom du blog existe déjà dans le système
delete_blog_label,Supprimer le blog?
blog_delete_confirm_message,Voulez-vous vraiment supprimer ce blog?
success_blog_delete,Les blogs ont été supprimés avec succès
err_blog_len,La longueur du nom du blog doit être supérieure à 4
err_blog_name,Veuillez fournir le nom du blog
blog_search,Recherche de blog
blog_gallery,Galerie de blogs
btn_disable,Désactiver
report_edit,Modifier le rapport d'article
total_category_count_label,Catégories totales
total_sub_cat_count_label,Total sous-catégories
total_blog_count_label,Total des blogs
total_contact_count_label,Message de contact total
popular_item,Article le plus populaire
item_report,Élément signalé
items_label,Articles récemment ajoutés
item_img,Image de l'article
popular_item_info,Informations sur les articles populaires
popular_item_view,Afficher l'article populaire
app_setting_lable,Informations sur les paramètres de l'application
app_lat_label,Latitude
app_lng_label,Longitude
location_info_label,Information de Lieu
err_chat_history_not_exist,Aucun enregistrement trouvé dans l'historique de chat
accept_update_success,Accepter l'offre a été mise à jour avec succès
err_accept_update,"Désolé, il y a un problème dans l'acceptation de l'offre"
count_update_success,Le compte de réinitialisation a été mis à jour avec succès
err_count_update,"Désolé, il y a un problème de réinitialisation du nombre"
price_update_success,Le prix a été mis à jour avec succès
err_price_update,"Désolé, il y a un problème de prix"
err_accept_offer,"Désolé, vous ne pouvez plus accepter l'offre."
overall_rating,Évaluation
user_is_verify_do_forgot_password,"Votre compte est vérifié, veuillez donc oublier le mot de passe."
user_view,Afficher l'utilisateur
user_address,Adresse
user_city,Ville
about_me,À propos de moi
verify_type,Vérifier le type
follower_count,Nombre de suiveurs
following_count,Compte suivant
user_profile,Photo de profil
email_verify,Vérification par e-mail
facebook_verify,Facebook Vérifier
google_verify,Google Verify
phone_verify,Vérification du téléphone
condition_name,Nom de la condition
cond_search,Condition de recherche
condition_add,Ajouter une condition
condition_info,Informations sur l'état de l'article
cond_edit,Modifier la condition
delete_condition_label,Supprimer la condition?
condition_delete_confirm_message,Voulez-vous supprimer les conditions?
condition_yes_all_message,Oui tout - La condition et les éléments seront supprimés du système.
success_condition_edit,La condition a été mise à jour avec succès
success_condition_add,La condition a été ajoutée avec succès
success_condition_delete,La condition a été supprimée avec succès
err_condition_name,Veuillez fournir le nom de la condition
err_condition_len,La longueur du nom de la condition doit être supérieure à 4
err_condition_exist,Le nom de condition existe déjà dans le système
option_name,Nom de l'option de transaction
cond_search,Option de recherche
option_add,Ajouter une option de transaction
option_info,Informations sur l'option de transaction
cond_edit,Modifier l'option de transaction
delete_option_label,Supprimer l'option de transaction?
option_delete_confirm_message,Voulez-vous supprimer les options de transaction?
option_yes_all_message,"Oui, toutes les options et tous les articles seront supprimés du système."
success_option_edit,L'option de transaction a été mise à jour avec succès
success_option_add,L'option de transaction a été ajoutée avec succès
success_option_delete,L'option de transaction a été supprimée avec succès
err_option_name,Veuillez fournir le nom de l'option de transaction
err_option_len,La longueur du nom de l'option de transaction doit être supérieure à 4.
err_option_exist,Le nom de l'option de transaction existe déjà dans le système
lang_name,Nom de la langue
btn_active,Active
lang_string,Chaîne de langue
lang_add,Ajouter une langue
lang_info,Informations sur la langue
lang_symbol,symbole
lang_search,Langue de recherche
lang_edit,Modifier la langue
success_lang_edit,La langue a été mise à jour avec succès
success_lang_add,La langue a été ajoutée avec succès
success_lang_delete,La langue a été supprimée avec succès
err_lang_name,Veuillez fournir le nom de la langue
err_lang_len,La longueur du nom de la langue doit être supérieure à 4
err_lang_exist,Le nom de la langue existe déjà dans le système
delete_lang_label,Supprimer la langue?
lang_delete_confirm_message,Voulez-vous supprimer toutes les chaînes sous cette langue ensemble?
lang_yes_all_label,Oui tout
lang_no_only_label,Langue uniquement
lang_yes_all_message,Oui tout - La langue et les éléments seront supprimés du système.
language_id,Langue
lang_string_key,Clé
lang_string_value,Valeur
lang_string_info,"Informations sur les chaînes de langue
"
select_language,Langue choisie
btn_import,Importation
csv_symbol_link,"Exemple de fichier csv ici
"
lang_str_search,Rechercher une chaîne de langue
success_langstr_import,La chaîne de langue a réussi le téléchargement du fichier csv
lang_str_add,Ajouter une chaîne de langue
lang_str_edit,Modifier la chaîne de langue
lang_active,Active
lang_deactive,Désactiver
success_lang_str_edit,La chaîne de langue a été mise à jour avec succès
success_lang_str_add,La chaîne de langue a été ajoutée avec succès
err_lang_str_name,Veuillez fournir le nom de la chaîne de langue
err_lang_str_len,La longueur de la chaîne de langue doit être supérieure à 4
err_lang_str_exist,La chaîne de langue existe déjà dans le système
lang_title,Langue supprimée?
lang_warning,Vous ne pouvez pas supprimer la langue active.
btn_ok,D'accord
list_lang_label,Langues
list_lang_str_label,Chaînes de langue
err_lang_symbol,Veuillez indiquer le symbole de la langue
dashboard_label,Tableau de bord
cat_module,Les catégories
subcat_module,Sous-catégories
contact_module,Contactez-nous Message
system_user_module,Utilisateurs système
register_user_module,Utilisateurs enregistrés
about_module,À propos et réglage
noti_module,Notification push
analytic_module,Analytique
export_database_module,Exporter la base de données
app_setting_module,Paramètre APP
popular_item_module,Articles les plus populaires
item_module,Articles
api_key_module,Api Keys
api_setting_module,Paramètre API
rating_module,Utilisateurs les plus cotés
version_module,Version
item_currency_module,Devise de l'article
item_price_module,Prix de l'article
item_type_module,Type d'élément
blog_module,Blog
item_report_module,Éléments signalés
app_setting_module,Paramètre d'application
item_location_module,Emplacement de l'article
item_condition_module,Conditions de l'article
deal_option_module,Option de transaction d'article
language_module,langues
paid_item_module,Rapport sur les articles sponsorisés
backend_setting_module,Réglage du backend
start_date_label,Date de début
end_date_label,Date de fin
amount_label,Montante
payment_method_label,Mode de paiement
progress_label,Le progrès
finished_label,Finie
not_yet_start_label,Pas encore commencé
today_label,Aujourd'hui
second_ago,secondes
minute_ago,minutes
hour_ago,heures
day_ago,journées
week_ago,semaines
month_ago,mois
year_ago,années
decade_ago,décennies
just_now_label,Juste maintenant
ago_label,depuis
user_acc_reg_label,Enregistrement d'un nouveau compte d'utilisateur
user_register_success_but_email_not_send,Enregistrement de l'utilisateur réussi mais e-mail non envoyé
pwd_reset_label,Réinitialisation du mot de passe
hi_label,salut
pwd_reset_link,Veuillez cliquer sur le lien suivant pour réinitialiser votre mot de passe
reset_link_label,réinitialiser le mot de passe
best_regards_label,Meilleures salutations
new_user_acc,Votre nouveau compte utilisateur a été créé. Bienvenue sur Flutter Buy & Sell. Veuillez vérifier avec le code ci-dessous pour activer votre compte.
verify_code_label,Code vérifié
hi_admin_label,Salut Admin
name_label,Nom
email_label,Email
phone_label,Téléphone
msg_label,Message
verify_code_sent,Le code de vérification a été envoyé.
user_id_required,L'ID utilisateur est requis.
invalid_login_user_id,L'ID utilisateur n'est pas valide.
already_accept_user,L'utilisateur a été accepté.
sender_id_required,L'identifiant de l'expéditeur est requis
success_delete,Supprimé avec succès.
success_cat_request,Votre demande a réussi.
err_cat_request,"Désolé, votre demande a échoué."
err_chat_history_save,"Désolé, votre historique de discussion n'a pas pu être enregistré."
accept_reset_success,Votre demande de chat a réussi.
error_delete_chat_history,"Désolé, votre historique de discussion n'a pas pu être supprimé."
success_delete_chat_history,L'historique de votre chat a bien été supprimé.
err_soldout_reset,"Désolé, vous ne pouvez pas vous reposer pour épuisé."
soldout_reset_success,Votre réinitialisation a réussi.
err_item_report,"Désolé, vous n'êtes pas en mesure de rapporter l'article."
token_already_exist,"Désolé, le jeton d'appareil existe déjà."
err_in_noti_read,"Désolé, la notification ne peut pas être lue."
success_noti_send,La notification a été envoyée avec succès.
error_noti_send,"Désolé, la notification n'a pas pu être envoyée."
invalid_code,"Désolé, votre code n'est pas valide."
backend_config_info_lable,Informations sur les paramètres du backend
sender_name_label,Nom de l'expéditeur
receive_email_label,Recevoir un e-mail
sender_email_label,Courriel de l'expéditeur
img_section,Section Image
fcm_api_key_label,fcm api key
backend_login_img,Image d'arrière-plan de connexion au backend
backend_logo,Logo du backend
backend_fav_icon,Favicon backend
upload_backend_logo,Télécharger le logo du backend
upload_fav_icon,Télécharger l'icône Fav
upload_login_img,Télécharger une photo de connexion
transaction_module,Historique des transactions
history_search,Rechercher l'historique des transactions
trans_history_info,Informations sur l'historique des transactions
entry_group,Entrée
reports_group,Rapports
user_mang_group,Gestion des utilisateurs
miscellaneous_group,Divers
setting_group,Réglage
btn_no,Non
forget_pwd,Mot de passe oublié?
remove_label,Retirer
his_info,Informations sur l'histoire
err_paid_item_history,Votre annonce n'est pas encore terminée elle ne peut donc pas être modifiée.
paid_config_module,Configurations payantes
currency_symbol_label,Symbole monétaire (par exemple; $)
paypal_env_label,Environnement Paypal
paypal_merchant_label,ID marchand PayPal
paypal_pub_label,Clé publique Paypal
paypal_pri_label,Clé privée Paypal
paypal_enabled_label,Paypal est-il activé?
stripe_publishable_key,Clé publiable
stripe_secret_key,Clef secrète
stripe_enable_label,Le paiement Stripe est-il activé?
stripe_label,[Option 2]: Paiement avec Stripe
paypal_label,[Option 1]: Paiement avec Paypal activé
day_label,journée
paid_config_info_lable,Informations de configuration payantes
paid_currrency_setting,Réglage du symbole monétaire
paid_paypal_setting,Paramètre Paypal
paid_stripe_setting,Réglage des rayures
success_backend_edit,Le paramètre principal a été mis à jour avec succès
smtp_section,Configuration SMTP
smtp_host_label,Hôte SMTP
smtp_host_placeholder,par exemple: ssl: //smtp.hostmail.com
smtp_port_label,Numéro de port SMTP
smtp_enable,Activer SMTP?
smtp_user_label,Utilisateur SMTP
smtp_pass_label,Mot de passe SMTP
topics_label,Les sujets
cannot_deactive,"Désolé, il ne peut pas être désactivé."
err_symbol_exist,Le symbole de langage existe déjà dans le système.
policy_info,Informations sur la politique de confidentialité
content_label,Contenu
app_is_approval_enabled,"Approval System On?(If this setting is ""On"" when user update new item it need to approve or reject from super admin.)"
privacy_policy_module,Politique de confidentialité
success_policy_edit,La politique de confidentialité a été mise à jour avec succès
success_policy_add,La politique de confidentialité a été ajoutée avec succès
razor_label,[Option 3]: Paiement avec rasoir
razor_key_label,Clé de rasoir
razor_enabled_label,Le rasoir est-il activé?
btn_promote,Promouvoir
prd_paid_info,Article payé Information
no_record_pagination,"10002 ## Désolé, plus d'enregistrement dans le système."
offline_paid_module,Articles payants hors ligne
offline_paid_prd_info,Informations sur les articles payés hors ligne
offline_paid_edit,Modifier l'article payé hors ligne
offline_setting,Paramètres hors ligne
offline_label,[Option 4]: Paiement hors ligne
offline_message,Message
offline_enabled_label,Est-il activé hors ligne?
prd_paid_info,Informations sur les articles payés
offline_info,Informations de paiement hors ligne
offline_title_label,Titre du paiement hors ligne
offline_description_label,Description du paiement hors ligne
offline_icon,Icône de paiement hors ligne
offline_search,Rechercher un paiement hors ligne
offline_add,Ajouter un paiement hors ligne
offline_edit,Modifier le paiement hors ligne
success_offline_edit,Le paiement hors ligne a été mis à jour avec succès
success_offline_add,Le paiement hors ligne a été ajouté avec succès
success_offline_delete,Le paiement hors ligne a été supprimé avec succès
err_offline_name,Veuillez indiquer le titre du paiement hors ligne
err_offline_len,La longueur du titre de paiement hors ligne doit être supérieure à 4
err_offline_exist,Le titre Offline Paymen existe déjà dans le système
delete_offline_label,Supprimer le paiement hors ligne?
offline_delete_confirm_message,Voulez-vous supprimer tous les paiements hors ligne?
offline_yes_all_label,Oui
offline_no_only_label,Annuler
offline_payment,Modes de paiement hors ligne
offline_paid_module,Articles payants hors ligne
img_configuration,Configuration d'image
land_width_label,Largeur du paysage
potrait_height_label,Hauteur du portrait
square_label,Hauteur carrée
err_lat,S'il vous plaît fournir Latitude
err_lng,S'il vous plaît fournir Longitude
err_lat_lng,Votre Latitude et Longitude ne doivent pas être 0.0
offline_yes_all_message,Voulez-vous supprimer tout le paiement en ligne?
email_verification_enabled,"Vérification email activé?(Si ce paramètre est « On », lorsque le registre de l'utilisateur en utilisant le courrier électronique, il envoie le code de vérification au courrier électronique de l'utilisateur enregistré.)"
user_auto_approved,Votre nouveau compte utilisateur a été créé. Bienvenue sur Flutter Buy & Sell.
user_not_able_delete,"Désolé, ce compte est le système de sorte qu'il ne peut pas désactiver."
delete_allow_user_label,Supprimer l'utilisateur autorisé?
allow_user_delete_confirm_message,Voulez-vous supprimer tous les utilisateurs autorisés?
allowed_module_lang,Utilisateurs autorisés
